title,year,director,genre,synopsis,cover_url,copies_total,copies_available,rental_price,is_active,notes
AUGUST: OSAGE COUNTY,,,DRAMA,,,1,1,3.00,true,Format: DVD
AUGUSTINE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
AUTUMN AFTERNOON AN - JAPANESE,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
AUTUMN SONATA - SWEDISH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
AVENGERS: AGE OF ULTRON,,,,,,1,1,3.00,true,Format: BLU-RAY
AVENUE MONTAIGNE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
AVIDA - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
AWFUL TRUTH THE,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BABE,,,,,,1,1,3.00,true,Format: BLU-RAY
BABE: PIG IN THE CITY,,,,,,1,1,3.00,true,Format: BLU-RAY
BABETTE'S FEAST - DANISH / FRENCH,,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BABO 73 / CHAFED ELBOWS / NO MORE EXCUSES,,,"ECLIPSE, CRITERION",,,1,1,3.00,true,Format: DVD
BACK TO THE FUTURE TRILOGY,,,COMEDY,,,1,1,3.00,true,Format: BLU-RAY
BAD COMPANY(1999) - FRENCH,1999,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BAD SLEEP WELL THE - JAPANESE,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BAD TIMING,,,CRITERION,,,1,1,3.00,true,
BAISE MOI - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BALLAD OF A SOLDIER - RUSSIAN,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BALLAD OF NARAYAMA THE (1958) - JAPANESE,1958,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BAMAKO - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BAMBOOZLED,,,CRITERION,,,1,1,3.00,true,Format: BLU-RAY
